records;tweet;hashtag;mentions;reply;like;retweet;date;time
248;Your body will thank you later. #justdoit;['justdoit'];;81.0;3000;2300; 2 Mar 2015;7:30 AM
249;Today is up to you. #justdoit;['justdoit'];;94.0;2900;2900; 23 Feb 2015;7:30 AM
250;The stars of tomorrow focus on today. #justdoit;['justdoit'];;51.0;1900;1400; 16 Feb 2015;7:30 AM
251;Born in 1982. 3D printed in 2015. Introducing the first AF1 figurine, made with love at the #zoomcity bank. #nikeairhttps://amp.twimg.com/v/dcca00d3-daa3-4b64-a874-983f42aaf987 …;['zoomcity', 'nikeair'];;30.0;510;343; 15 Feb 2015;5:01 PM
252;Above the rim. Beyond comparison. @ZachLaVine #NBAAllStarNYCpic.twitter.com/pkcAy5xxLd;['NBAAllStarNYC'];['ZachLaVine'];52.0;1700;1000; 14 Feb 2015;10:29 PM
253;A court fit for the future of the game. This is #zoomcity arena.https://amp.twimg.com/v/957ba2f0-1939-4c56-b899-047d481ad53d …;['zoomcity'];;69.0;767;587; 12 Feb 2015;7:02 AM
254;The best of Nike sneakers, all in the palm of your hand. http://youtu.be/pn0lTylOLLw ;;;87.0;645;407; 11 Feb 2015;3:10 PM
255;Introducing Nike SNKRS. Your Ultimate Sneaker Shop: http://www.nike.com/snkrs pic.twitter.com/SzqCS5ATPo;;;330.0;1900;1400; 11 Feb 2015;3:06 PM
256;There's always a way. No matter what's in it. #justdoit;['justdoit'];;56.0;1600;1500; 9 Feb 2015;7:30 AM
257;Ready. Aim. Attack. The #KOBEX 5AM Flight. Available now. http://swoo.sh/1Fiwed4 pic.twitter.com/jN5qs90zw3;['KOBEX'];;75.0;1000;705; 7 Feb 2015;9:00 AM
258;A little better goes a long way. #justdoit;['justdoit'];;41.0;1700;1400; 2 Feb 2015;6:30 AM
259;Your time. Your trophy. Your title. #untouchable @Patriotspic.twitter.com/gMfkLef5yq;['untouchable'];['Patriots'];208.0;9300;7300; 1 Feb 2015;7:08 PM
260;New trophies never get old. #justdoit;['justdoit'];;26.0;1200;712; 1 Feb 2015;3:25 PM
261;Work wins the title. Will builds a legacy. @SerenaWilliams #justdoit #AusOpenpic.twitter.com/mxQ198mVKZ;['justdoit', 'AusOpen'];['serenawilliams'];217.0;3300;2800; 31 Jan 2015;2:36 AM
262;Shine through like @NeymarJr. #Hypervenom http://www.nike.com/hypervenom pic.twitter.com/AqVUKHiZ85;['Hypervenom'];['neymarjr'];79.0;1500;858; 28 Jan 2015;1:54 PM
263;Move it or lose it. #justdoit;['justdoit'];;50.0;1700;1500; 26 Jan 2015;7:30 AM
264;One of a kind. One thousand times. #Coach1K #justdoitpic.twitter.com/STlMPUON6w;['Coach1K', 'justdoit'];;146.0;5800;6900; 25 Jan 2015;1:24 PM
265;A day can either be wasted or won. #justdoit;['justdoit'];;79.0;2500;2500; 20 Jan 2015;7:30 AM
266;"They called you undeserving. They called you an underdog.

Now they can call you something else. #justdoitpic.twitter.com/2EU87yezZR";['justdoit'];;488.0;19000;20000; 12 Jan 2015;9:10 PM
267;This isn't do-or-die. It's do or don't. You have to live with it or live without it. #justdoitpic.twitter.com/EbnRzUWYOD;['justdoit'];;265.0;4600;3900; 12 Jan 2015;5:30 PM
268;Destined for history. Determined to prove it. @OhioStAthleticspic.twitter.com/1yCU6GLFQI;;['OhioStAthletics'];85.0;2700;2600; 12 Jan 2015;4:45 PM
269;The biggest game of your life is coming fast. Be faster. @WinTheDaypic.twitter.com/C5dYBIHduM;;['wintheday'];90.0;2300;2300; 12 Jan 2015;4:30 PM
270;Winning is a state of mind. #justdoitpic.twitter.com/o2Se2WSypc;['justdoit'];;107.0;3700;3900; 12 Jan 2015;11:07 AM
271;Champions believe in themselves before anyone else will. #justdoit;['justdoit'];;59.0;2100;1800; 12 Jan 2015;7:30 AM
272;It’s a milestone. Not a finish line. #Roger1000pic.twitter.com/jKqNMT1AWR;['Roger1000'];;62.0;2000;2000; 11 Jan 2015;3:23 AM
273;We’re painting an #untouchable mural in Dallas. @OhioStAthletics and @WinTheDay will decide its direction.pic.twitter.com/mbtIF0gVd3;['untouchable'];['OhioStAthletics', 'wintheday'];57.0;2000;1300; 9 Jan 2015;2:12 PM
274;It’s here. Reach the next level with the new Nike+ Training Club app. #NTC http://gonike.me/6010awPM ;['NTC'];;16.0;177;80; 5 Jan 2015;9:23 AM
275;A crowded gym just means more competition. #justdoit;['justdoit'];;60.0;2000;1200; 5 Jan 2015;7:30 AM
276;When there can only be one, be it. #justdoitpic.twitter.com/LCX2LQyTCn;['justdoit'];;42.0;1200;826; 1 Jan 2015;1:01 PM
277;Be resolute. #justdoit;['justdoit'];;33.0;1600;1300; 1 Jan 2015;7:30 AM
278;When the days get shorter, light up the night. Do more with less at http://nikebetterworld.tumblr.com http://gph.is/1zGetCi ;;;10.0;239;104; 21 Dec 2014;1:18 PM
279;Don't let winter win. #justdoit;['justdoit'];;48.0;1900;1300; 21 Dec 2014;7:30 AM
280;It's the weatherman's job to tell you what's headed your way. It's your job to not let it get in the way. #justdoit;['justdoit'];;20.0;997;701; 15 Dec 2014;7:30 AM
281;Thrive under pressure. Shine brighter under the lights. The Nike Diamond Quest collection: http://gonike.me/CFP pic.twitter.com/rmI6jt7SqT;;;40.0;975;643; 9 Dec 2014;4:14 PM
282;Tomorrow will only be better if you are. #justdoit;['justdoit'];;92.0;2400;2600; 8 Dec 2014;7:00 PM
283;"It's more than just tradition.
More than style.
More than shoes.
More than words.
#justdoit
http://gonike.me/CFP pic.twitter.com/bmeZVOGJ9W";['justdoit'];;19.0;687;428; 7 Dec 2014;9:44 AM
284;The next generation is here #KYRIE1. @KobeBryant, @KingJames & @KDTrey5 welcome @KyrieIrving to the family.https://amp.twimg.com/v/10c49a52-4cad-41d1-a1e7-b3c828079659 …;['KYRIE1'];['kobebryant', 'KingJames', 'KDTrey5', 'KyrieIrving'];31.0;1100;1200; 3 Dec 2014;6:21 PM
285;Deceptively quick. The #KYRIE1. Available December 23.pic.twitter.com/fZ0ezJeUpU;['KYRIE1'];;503.0;4300;4200; 3 Dec 2014;5:38 PM
286;It’s here. Tune in now to be a part of a very special Nike moment: http://on.fb.me/1CGEypA ;;;26.0;199;107; 3 Dec 2014;5:00 PM
287;"The bad news? Winter is coming.
The good news? You are not a bear.
#justdoit";['justdoit'];;73.0;1300;1000; 1 Dec 2014;7:30 AM
288;Mother Nature isn't the boss of you. #justdoit;['justdoit'];;31.0;1100;679; 24 Nov 2014;7:30 AM
289;"Lace up and join the fight against AIDS. #onestep4red
http://gonike.me/red_tw pic.twitter.com/dsxjR8cNKF";['onestep4red'];;19.0;329;263; 18 Nov 2014;10:12 AM
290;The weather can get worse or you can get better. #chooseyourwinter;['chooseyourwinter'];;33.0;1300;989; 17 Nov 2014;7:30 AM
291;800,000 miles and we still haven't reached the finish line. Lace up and join the fight against AIDS: http://gonike.me/RED_tw  #onestep4red;['onestep4red'];;6.0;184;108; 14 Nov 2014;4:21 PM
292;If you're looking for a reason, look no further than yourself. #justdoit;['justdoit'];;65.0;2000;2100; 10 Nov 2014;7:30 AM
293;"Meet the souls of the shoes. #DBFreestyle

The Nike x @OHSUDoernbecher collection: http://swoo.sh/1EbW4NR ";['DBFreestyle'];['OHSUDoernbecher'];11.0;232;175; 7 Nov 2014;5:54 PM
294;Be a pioneer on the pavement. @PendletonWM X @NIKEiD http://swoo.sh/1shpYun pic.twitter.com/lPhFABwCD0;;['PendletonWM', 'NIKEiD'];134.0;2800;2300; 5 Nov 2014;2:30 PM
295;Where there’s a stronger will, there’s always a way. #justdoit;['justdoit'];;35.0;1200;1200; 3 Nov 2014;7:30 AM
296;Bigger than basketball. #justdoithttps://amp.twimg.com/v/ac207c57-3793-4182-a669-9f08892cd398 …;['justdoit'];;1100.0;12000;13000; 30 Oct 2014;5:01 PM
297;Call it destiny or call it a dynasty. Either way, it’s history. #justdoitpic.twitter.com/CoGieQskye;['justdoit'];;87.0;4300;3400; 29 Oct 2014;8:21 PM
298;Kobe can. #justdoitpic.twitter.com/LSN7LcRFtO;['justdoit'];;308.0;6800;8200; 28 Oct 2014;7:45 PM
299;It can't wait. #justdoit;['justdoit'];;46.0;1600;1600; 27 Oct 2014;7:30 AM
300;Breathable warmth. The Nike Tech Fleece Aeroloft Collection arrives on http://nike.com/techpack  October 27. #techpackhttps://amp.twimg.com/v/79d6945d-7128-42a2-b5de-aabbc39bf0e1 …;['techpack'];;21.0;377;265; 23 Oct 2014;9:12 AM
301;Our history on display. Our future being made. #nikewomenpic.twitter.com/2I71FZquRt;['nikewomen'];;26.0;683;366; 23 Oct 2014;1:28 PM
302;“There truly is no finish line.” - Joan Benoit Samuelson #nikewomen;['nikewomen'];;14.0;479;289; 23 Oct 2014;12:00 PM
303;Nike X Pedro Lourenco Collection. The latest in performance innovation: http://gonike.me/6015ql8l  #nikewomen #nikelabpic.twitter.com/hWYA4AVa2U;['nikewomen', 'nikelab'];;18.0;203;95; 22 Oct 2014;1:31 PM
304;Just unveiled - an exclusive preview of upcoming styles for every way you move. #nikewomenhttps://amp.twimg.com/v/43e488e6-dff0-44a1-a8df-d92805a16636 …;['nikewomen'];;32.0;486;246; 22 Oct 2014;12:14 PM
305;Strong alone. Unstoppable together. #nikewomenpic.twitter.com/sUO51SNgd0;['nikewomen'];;145.0;3700;1800; 22 Oct 2014;10:28 AM
306;We're giving you inside access to the latest looks, workouts & athletes. Welcome to the #NikeWomen Showcase.pic.twitter.com/xMERxhcsmR;['NikeWomen'];;13.0;326;143; 22 Oct 2014;6:50 AM
307;Just Do It. #nikewomenpic.twitter.com/PuD9gDj1qs;['nikewomen'];;261.0;9500;6000; 22 Oct 2014;5:00 AM
308;#NoExcuses RT @Nike: The time and place is here and now. #justdoit;['NoExcuses', 'justdoit'];['Nike'];10.0;338;167; 20 Oct 2014;11:06 AM
309;The time and place is here and now. #justdoit;['justdoit'];;34.0;1200;1200; 20 Oct 2014;7:00 AM
310;Anything can happen if you're willing to do everything to make it happen. #justdoit;['justdoit'];;72.0;1700;2000; 13 Oct 2014;7:30 AM
311;"More than just a mile.

For every mile run with #nikeplus, @BofA_Community will donate to the fight against AIDS. http://gonike.me/RED_ ";['nikeplus'];['BofA_Community'];14.0;223;156; 12 Oct 2014;9:46 AM
312;Since you started playing, we've shown fútbol what soccer can do. Thanks, for leaving us wanting more. #onlyonelandonpic.twitter.com/7XlWtOdT0L;['onlyonelandon'];;43.0;4500;4500; 10 Oct 2014;9:56 AM
313;Find the reasons. Lose the excuses. #justdoit;['justdoit'];;75.0;1800;2100; 6 Oct 2014;7:30 AM
314;National pride. Global glory. #justdoit #USABWNTpic.twitter.com/9yefBdfHdT;['justdoit', 'USABWNT'];;25.0;984;704; 5 Oct 2014;12:50 PM
315;Legendary DNA meets necessary protection. Introducing the new #sneakerboots collection. http://nike.com/sportswear pic.twitter.com/a4iN3gL7xt;['sneakerboots'];;27.0;456;344; 2 Oct 2014;9:06 AM
316;When it's all on the line, hold nothing back. #futuregetsfasterpic.twitter.com/isL7T1KWrN;['futuregetsfaster'];;20.0;401;358; 30 Sep 2014;8:57 AM
317;You can only change yourself if you challenge yourself. #justdoit;['justdoit'];;67.0;1700;2200; 29 Sep 2014;7:30 AM
318;Make progress a priority. #justdoit;['justdoit'];;78.0;1800;2400; 22 Sep 2014;7:30 AM
319;This is last call for all of summer's weekend warriors. Earn it.pic.twitter.com/EWr5ghzTnm;;;11.0;334;148; 20 Sep 2014;7:29 AM
320;Just do it. #LiNa #LoveLipic.twitter.com/emYWNRDLGy;['LiNa', 'LoveLi'];;78.0;1500;1300; 19 Sep 2014;10:37 AM
321;Talk as loud as you want. Make your game louder. #NeverFinishedhttps://amp.twimg.com/v/48e1b34f-c20e-4726-9fb4-5165a9b0eb9b …;['NeverFinished'];;92.0;1300;1200; 19 Sep 2014;12:00 PM
322;This is where the #LEBRON12 was built. This is where scientists and athletes are on the same team. This is the NSRL.http://youtu.be/g8QIYfWsYDg ;['LEBRON12'];;13.0;217;167; 17 Sep 2014;11:00 AM
323;"Gear up for greatness. #LEBRON12
http://nike.com/lebron pic.twitter.com/tR66rPvEEM";['LEBRON12'];;386.0;2100;2700; 16 Sep 2014;4:18 PM
324;"For big nights, every night.

The #LEBRON12 was engineered to the exact specifications of @KingJamespic.twitter.com/8JCE6sGAWQ";['LEBRON12'];['KingJames'];152.0;2200;1800; 16 Sep 2014;4:21 PM
325;When you reach your max, reach for more. #justdoit;['justdoit'];;53.0;1600;1700; 15 Sep 2014;7:30 AM
326;Playing is an honor. Winning is a tradition. #justdoit #USABMNTpic.twitter.com/YWqGaDO4Cx;['justdoit', 'USABMNT'];;76.0;4000;4000; 14 Sep 2014;1:47 PM
327;Read the stories. Shop the collection. Download the new #techpack Lookbook in the @AppStore: http://swoo.sh/1D0GEOB pic.twitter.com/SQhvFieOcr;['techpack'];['AppStore'];13.0;146;95; 12 Sep 2014;2:43 PM
328;The best just make everyone better. #MVP #WNBAFinalspic.twitter.com/dAlF6DS99J;['MVP', 'WNBAFinals'];;41.0;882;810; 12 Sep 2014;7:19 PM
329;See an opportunity where others see an obstacle. #justdoit;['justdoit'];;54.0;1400;1600; 8 Sep 2014;7:30 AM
330;History served by Serena. @SerenaWilliams #nikecourt #USOpenpic.twitter.com/Hgw4PkBzXS;['nikecourt', 'USOpen'];['serenawilliams'];116.0;2100;2100; 7 Sep 2014;3:37 PM
331;Get your daily dose of #NTC on #Vine. Take on a partner ab workout with the Medicine Ball Partner Toss.http://gonike.me/6016WvoG ;['NTC', 'Vine'];;5.0;103;56; 2 Sep 2014;2:31 PM
332;A day off is no reason to have an off day. #justdoit;['justdoit'];;57.0;2000;1800; 1 Sep 2014;8:00 AM
333;Ready. Set. Repeat. @FSU_Football #NeverFinishedpic.twitter.com/tX5qCSWt32;['NeverFinished'];;28.0;572;351; 30 Aug 2014;4:45 PM
334;#justdoit RT @McIlroyRory Little evening workout... Words to live by #prefontaine #nike #hardworkpic.twitter.com/MnnadHerfm;['justdoit', 'prefontaine', 'nike', 'hardwork'];['McIlroyRory'];24.0;778;533; 26 Aug 2014;3:43 PM
335;Improbable doesn't mean impossible. #justdoit;['justdoit'];;41.0;1300;1500; 25 Aug 2014;7:30 AM
336;The wait is over. New season. New #techpack. Exclusively available now at http://nike.com/techpack .pic.twitter.com/1Y0MUfEjEo;['techpack'];;23.0;436;282; 21 Aug 2014;9:00 AM
337;Take your training to the next level. #NTC is now on #Vine. Get exclusive workout tips and drills.http://gonike.me/6010WBxu ;['NTC', 'Vine'];;6.0;146;76; 18 Aug 2014;3:31 PM
338;Inside The Oven, we know the most exciting club is the next one. #TheresAlwaysBetterhttps://amp.twimg.com/v/2548c716-8e02-4938-91a3-14e9077c2b6b …;['TheresAlwaysBetter'];;33.0;515;353; 19 Aug 2014;1:16 PM
339;Rise and run. #justdoit;['justdoit'];;46.0;1600;1400; 18 Aug 2014;7:30 AM
340;As Becky Hammon retires from one league, she'll make history in another. #justdoitpic.twitter.com/jkiiHLze2W;['justdoit'];;39.0;1300;1100; 15 Aug 2014;4:55 PM
341;Engineered to the exact specifications of championship athletes. New #techpack is coming 8.21:https://amp.twimg.com/v/43b061dc-3ba8-49a2-a90b-1a81aeeb50e4 …;['techpack'];;38.0;412;307; 14 Aug 2014;10:15 AM
342;Ask more from yourself and they'll start asking more about you. #justdoit;['justdoit'];;34.0;1300;1200; 11 Aug 2014;7:30 AM
343;Champions never get lost in the crowd. @McIlroyRory #PGAChamppic.twitter.com/RygBGlRzIP;['PGAChamp'];['McIlroyRory'];69.0;2000;2200; 10 Aug 2014;5:43 PM
344;Without the setbacks, the comebacks aren’t as sweet. #justdoitpic.twitter.com/ZjolqxCf1d;['justdoit'];;341.0;6300;8800; 7 Aug 2014;11:00 AM
345;You either have yourself to thank or yourself to blame. #justdoit;['justdoit'];;85.0;1900;2400; 4 Aug 2014;7:30 AM
346;Everyone will know what you did this summer, especially if you didn't do a thing. #justdoit;['justdoit'];;36.0;1200;1200; 28 Jul 2014;7:30 AM
347;Looking for a summer job? Here it is: get better. #justdoit;['justdoit'];;82.0;1400;1100; 21 Jul 2014;7:30 AM
348;"Where history is put on a pedestal, put the future on display.

@McIlroyRory #TheOpenpic.twitter.com/w9irbUEARb";['TheOpen'];['McIlroyRory'];105.0;2400;2400; 20 Jul 2014;10:27 AM
349;The newest member of the team. The Nike Pro Rival. #NikeProBra http://gonike.me/prorival pic.twitter.com/B8NFnZBsgU;['NikeProBra'];;20.0;348;134; 15 Jul 2014;11:09 AM
350;Make obstacles obsolete. #justdoit;['justdoit'];;55.0;1200;1300; 14 Jul 2014;7:30 AM
351;Unstoppable, even on the world's biggest stage. @MarioGoetze is #Magista.https://vine.co/v/MA0nM7WxFB3 ;['Magista'];['MarioGoetze'];33.0;1100;953; 13 Jul 2014;6:00 PM
352;The world is a stage. Make it yours. #riskeverythingpic.twitter.com/heaPC5bEDn;['riskeverything'];;69.0;1800;2000; 13 Jul 2014;2:36 PM
353;Your next game is the greatest stage. There is no final whistle. Play on. #justdoithttps://amp.twimg.com/v/79fc1f60-3dfc-49a8-ad78-08120babf38e …;['justdoit'];;68.0;1700;1300; 13 Jul 2014;2:38 PM
354;Risk Everything. #justdoit;['justdoit'];;74.0;982;1200; 13 Jul 2014;11:51 AM
355;Back home. Back to work. #StriveForGreatnesspic.twitter.com/ir3pWS97zC;['StriveForGreatness'];;135.0;3300;3600; 11 Jul 2014;1:23 PM
356;"Your game. Our world. Get the Nike Football App.
Google Play: http://gonike.me/NFAppGPlay 
iTunes: http://gonike.me/NFAppiTunes https://amp.twimg.com/v/ba486da9-4b23-429b-b0ac-85c1cc7816e2 …";;;202.0;3500;1900; 10 Jul 2014;2:57 PM
357;Dare to be @NeymarJr. #riskeverythingpic.twitter.com/1zNjZXIWY8;['riskeverything'];['neymarjr'];169.0;1900;1800; 8 Jul 2014;5:58 AM
358;Zlatan will be answering your #AskZlatan questions on Saturday July 12 at 5pm GMT on a live Google+ Hangout. http://youtu.be/pcyv-uQ2U9k ;['AskZlatan'];;17.0;184;118; 7 Jul 2014;5:01 PM
359;Find the reasons. Lose the excuses. #justdoit;['justdoit'];;75.0;1800;2300; 7 Jul 2014;10:06 AM
360;Another master class. @Petra_Kvitova #Wimbledon #endlesstennispic.twitter.com/m49xlC0BA8;['Wimbledon', 'endlesstennis'];['Petra_Kvitova'];13.0;477;320; 5 Jul 2014;7:06 AM
361;One resolution requires 365 days of effort. The second half starts now. #justdoit;['justdoit'];;20.0;791;712; 1 Jul 2014;7:30 AM
362;Without struggle, there is no celebration. #riskeverythingpic.twitter.com/6wU0e37VHw;['riskeverything'];;90.0;1900;3000; 28 Jun 2014;11:56 AM
363;Relentless attack. Relentless innovation. #KD7pic.twitter.com/30AzkJcAa3;['KD7'];;594.0;3900;5000; 25 Jun 2014;9:32 AM
364;LIVE NOW: Kevin Durant and Nike Basketball present the #KD7: http://gonike.me/6011YKK9 ;['KD7'];;21.0;200;234; 25 Jun 2014;9:02 AM
365;Hard work is hard to ignore. #justdoit;['justdoit'];;44.0;1700;1900; 23 Jun 2014;7:30 AM
366;Play until the grass turns to dirt. #endlesstennis #Wimbledonpic.twitter.com/xIPu5M1J3c;['endlesstennis', 'Wimbledon'];;79.0;1200;911; 22 Jun 2014;4:11 AM
367;#justdoit RT @NikeFuel Summer means time for more.pic.twitter.com/zQfY4ym6Fo;['justdoit'];['NikeFuel'];63.0;1500;1400; 21 Jun 2014;3:00 PM
368;Arrive early. Start fast. #futuregetsfasterpic.twitter.com/u8QlYRTLF9;['futuregetsfaster'];;30.0;1200;595; 20 Jun 2014;5:46 PM
369;Determination determines everything. #justdoit;['justdoit'];;38.0;1300;1400; 16 Jun 2014;7:00 AM
370;Champion is the only label we'll remember.pic.twitter.com/t6VhYCc4Xc;;;152.0;3300;4700; 15 Jun 2014;7:47 PM
371;No risk. No revenge. #riskeverythingpic.twitter.com/hjkwNLj0hW;['riskeverything'];;47.0;1800;2200; 13 Jun 2014;1:52 PM
372;If you are not ready to risk everything, there will be no revenge. Zlatan has spoken.https://amp.twimg.com/v/012951bf-8693-4c7d-86b2-2b3d843a9b4c …;;;53.0;745;794; 13 Jun 2014;9:31 AM
373;Teach the world what your country taught you. #justdoitpic.twitter.com/3ZmKSVFMVK;['justdoit'];;58.0;1900;1600; 12 Jun 2014;12:30 PM
374;Today a summer of risk starts. Zlatan is here to answer your questions. Go on, #AskZlatan.https://amp.twimg.com/v/461b5db6-6422-40e1-9f57-f2581e81fd07 …;['AskZlatan'];;148.0;815;917; 12 Jun 2014;9:59 AM
375;Play every game like it's 'The Last Game.' #riskeverythinghttps://amp.twimg.com/v/b108fb9d-5d87-4041-8100-29025b60a61d …;['riskeverything'];;744.0;8800;12000; 10 Jun 2014;3:40 PM
376;There's no greater danger than playing it safe. http://gonike.me/6016ceQ2 ;;;72.0;540;681; 9 Jun 2014;9:01 AM
377;If you don't take risks, you'll always have regret. #justdoit;['justdoit'];;104.0;2100;2900; 9 Jun 2014;7:29 AM
378;For the king of Paris, it’s an endless mastery. @RafaelNadal #endlesstennis #RG14https://amp.twimg.com/v/abc9db75-4054-43d0-8cfc-c963949a9cc9 …;['endlesstennis', 'RG14'];['RafaelNadal'];101.0;1600;2200; 8 Jun 2014;9:49 AM
379;It's standing strong when the dust settles. @MariaSharapova #endlesstennis #RG14pic.twitter.com/BMGAOMGIFf;['endlesstennis', 'RG14'];['MariaSharapova'];51.0;1000;1100; 7 Jun 2014;9:15 AM
380;A little sweat never hurt anybody. #justdoit;['justdoit'];;66.0;1700;1700; 2 Jun 2014;7:37 AM
381;Get comfortable going fast. @Mo_Farah & @BishopMelissa put the new #nikepegasus through the wringer for more speed. http://youtu.be/lekz47jBXAA ;['nikepegasus'];['Mo_Farah', 'BishopMelissa'];6.0;152;72; 31 May 2014;9:30 AM
382;In full zoom. A first-place finish and a new American record for Zoom Squad member @G_Rupp in the 10,000m. #nikezoom;['nikezoom'];['G_Rupp'];5.0;254;147; 30 May 2014;9:48 PM
383;The fast are never forgotten. #justdoit;['justdoit'];;34.0;1100;807; 30 May 2014;5:30 PM
384;Summer doesn't start on the calendar. It starts on the course.pic.twitter.com/NYhRvaCpjA;;;58.0;934;932; 30 May 2014;9:01 AM
385;Your biggest competition is the voice inside your head. #justdoit;['justdoit'];;91.0;2100;2600; 27 May 2014;7:00 AM
386;Keep your head down. Watch your name climb. @McIlroyRorypic.twitter.com/4akerkPsGG;;['McIlroyRory'];39.0;1000;822; 25 May 2014;9:13 AM
387;It's the opportunity to sculpt your legacy in the clay. #endlesstennis #RG14 https://www.youtube.com/watch?v=yLYPURGibNA …;['endlesstennis', 'RG14'];;11.0;168;111; 24 May 2014;6:48 AM
388;Today doesn't want to hear excuses. #justdoit;['justdoit'];;81.0;1800;2300; 19 May 2014;8:00 AM
389;We don’t need next. We got right now.pic.twitter.com/BKheLXvceK;;;49.0;1100;1000; 16 May 2014;12:00 PM
390;30 dias. #justdoitpic.twitter.com/fsa7uZcPAE;['justdoit'];;23.0;1100;1100; 12 May 2014;10:00 AM
391;"It's never too late to start.
It's never too early, either.
#justdoit";['justdoit'];;55.0;1700;2300; 12 May 2014;7:30 AM
392;Happy Mother's Day to all the mothers of past and present!!;;;12.0;396;169; 11 May 2014;3:10 PM
393;Happy Mother's Day Mom and my Grandma Lily, I know you're both smiling down on the family. I love you. All mothers enjoy your day!!;;;16.0;1300;426; 11 May 2014;12:21 PM
394;There's no formula. There's no prototype. @JManziel2 #justdoitpic.twitter.com/aqnr4y0ZoE;['justdoit'];['JManziel2'];117.0;1900;2500; 8 May 2014;8:59 AM
395;"Most reliable.
Most relentless.
Most sensational.
Most unguardable.

Just call @KDTrey5 Most Valuable.pic.twitter.com/NVLK28wWNW";;['KDTrey5'];213.0;8100;12000; 6 May 2014;8:09 AM
396;Every streak starts with one. #justdoit;['justdoit'];;36.0;1200;1300; 5 May 2014;7:30 AM
397;#justdoit RT @nikebasketball .@KDTrey5 is letting his game do the talking. We suggest you listen.;['justdoit'];['nikebasketball', 'KDTrey5'];10.0;233;167; 1 May 2014;7:52 PM
398;Don't get mad at Monday. Get even. #justdoit;['justdoit'];;46.0;1400;1600; 28 Apr 2014;7:30 AM
399;How you play determines who you are. http://youtu.be/3XviR7esUvo  #riskeverything;['riskeverything'];;92.0;515;683; 25 Apr 2014;12:03 PM
400;Every four years, the world expects phenomenal football. It's time. http://youtu.be/3XviR7esUvo  #riskeverything;['riskeverything'];;207.0;967;1700; 25 Apr 2014;6:19 AM
401;Playing it safe isn't playing at all. http://youtu.be/3XviR7esUvo  #riskeverything;['riskeverything'];;137.0;619;769; 25 Apr 2014;6:26 AM
402;There’s no trophy for second best. We innovate for those who dare to #riskeverything.pic.twitter.com/GVaiCm981J;['riskeverything'];;28.0;597;457; 24 Apr 2014;8:15 AM
403;Teams have been preparing for this summer for the past 4 years. So have we. #justdoitpic.twitter.com/bb0ZKccJqo;['justdoit'];;38.0;1100;995; 24 Apr 2014;10:50 AM
404;New season. New styles. View the SP/SU 14 #techpack lookbook: http://nike.com/techpack pic.twitter.com/Ag6dKIl4PD;['techpack'];;17.0;698;333; 23 Apr 2014;9:01 AM
405;Yesterday you ran. Today we donate $77,559 to the @CAFoundation. Forever #strongereveryrun.pic.twitter.com/krViA1YfKr;['strongereveryrun'];['CAFoundation'];20.0;434;292; 22 Apr 2014;5:34 PM
406;Back. Breathable. And lighter than ever. New #techpack. Coming soon:http://youtube.com/watch?v=1wFzhPw-sA0 …;['techpack'];;22.0;241;171; 21 Apr 2014;9:00 AM
407;A personal best with the city behind her every step of the way. @ShalaneFlanagan is #strongereveryrun.;['strongereveryrun'];['ShalaneFlanagan'];5.0;322;193; 21 Apr 2014;8:58 AM
408;Back to back and a new course record. Rita Jeptoo is #strongereveryrun.;['strongereveryrun'];;4.0;225;140; 21 Apr 2014;8:54 AM
409;Sometimes getting to the starting line proves just as much as getting to the finish line. #justdoit;['justdoit'];;34.0;1100;1100; 21 Apr 2014;7:32 AM
410;Get ready for a marathon Monday like no other. Every mile w/ Nike+ gives to @CAFoundation. We are #strongereveryrun.http://gonike.me/42114 ;['strongereveryrun'];['CAFoundation'];5.0;153;159; 20 Apr 2014;8:59 AM
411;Special #nikefc delivery. Guess this means I'm in the club too @neymarjr!pic.twitter.com/famAvoE28p;['nikefc'];['neymarjr'];234.0;4400;2000; 17 Apr 2014;11:19 AM
412;We could tell you about our history, but we’d rather you experience it. http://gonike.me/Pre_ ;;;9.0;135;65; 16 Apr 2014;9:00 AM
413;Carry the tradition founded by legends. This is #nikefc: http://nike.com/nikefc pic.twitter.com/1fj4bsjjes;['nikefc'];;113.0;2000;1600; 15 Apr 2014;10:48 AM
414;A gym doesn't have to have four walls. #justdoit;['justdoit'];;34.0;1200;956; 14 Apr 2014;3:00 PM
415;The Nike F.C. Collection by @nikesportswear is now available http://swoo.sh/1m2tx97 pic.twitter.com/iJPRRN7bWj;;['nikesportswear'];24.0;400;245; 14 Apr 2014;6:46 AM
416;We are Nike F.C. #nikefc http://youtu.be/P-oOosIkNP8 ;['nikefc'];;6.0;163;122; 14 Apr 2014;12:00 AM
417;It’s been 20 years since Nike F.C. secretly set out to save brilliant football. Tomorrow the next chapter begins.pic.twitter.com/Gg2xLN4OgC;;;10.0;439;243; 13 Apr 2014;9:18 AM
418;Running will take you anywhere you let it. So let it take you to where it all began: http://gonike.me/Pre_ pic.twitter.com/ScUMAugi4f;;;14.0;839;534; 12 Apr 2014;8:59 AM
419;"Your route to our roots starts now. Run your way to a Pre Classic experience.
http://gonike.me/Pre_ pic.twitter.com/CJNr6OOdPl";;;18.0;711;395; 11 Apr 2014;9:00 AM
